,o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
237,934,514,O,18262.86,1996-07-03,1-URGENT,Clerk#000000229,0,"ts integrate carefully. sly, regular deposits af"
238,935,493,O,131247.01,1997-09-24,5-LOW,Clerk#000000180,0,iously final deposits cajole. blithely even packages 
239,960,347,F,84356.33,1994-09-21,3-MEDIUM,Clerk#000000120,0,regular accounts. requests
240,961,551,P,248080.06,1995-06-04,4-NOT SPECIFIED,Clerk#000000720,0,ons nag furiously among the quickl
241,962,353,F,144898.54,1994-05-06,5-LOW,Clerk#000000463,0,ments nag deposits. fluffily ironic a
242,963,253,F,98613.54,1994-05-26,3-MEDIUM,Clerk#000000497,0,uses haggle carefully. slyly even dependencies after the packages ha
243,964,752,O,207649.97,1995-05-20,3-MEDIUM,Clerk#000000657,0,"print blithely ironic, careful theodolit"
244,965,685,P,44648.62,1995-05-15,5-LOW,Clerk#000000218,0,iously special packages. slyly pending requests are carefully 
245,966,134,O,142557.51,1998-04-30,2-HIGH,Clerk#000000239,0,special deposits. furious
246,967,1099,F,236000.05,1992-06-21,3-MEDIUM,Clerk#000000167,0,excuses engage quickly bold dep
247,992,538,O,189842.36,1997-11-11,3-MEDIUM,Clerk#000000875,0,ts. regular pinto beans thrash carefully sl
248,993,793,O,269632.17,1995-09-10,3-MEDIUM,Clerk#000000894,0,quickly express accounts among the furiously bol
249,994,13,F,49870.71,1994-04-20,5-LOW,Clerk#000000497,0,ole. slyly bold excuses nag caref
250,995,1160,P,189854.55,1995-05-31,3-MEDIUM,Clerk#000000439,0,deas. blithely final deposits play. express accounts wake blithely caref
251,996,710,O,71877.3,1997-12-29,1-URGENT,Clerk#000000497,0,arefully final packages into the slyly final requests affix blit
252,997,1087,O,39832.61,1997-05-19,2-HIGH,Clerk#000000651,0,ly express depths. furiously final requests haggle furiously. carefu
253,998,317,F,81009.81,1994-11-26,4-NOT SPECIFIED,Clerk#000000956,0,"ronic dolphins. ironic, bold ideas haggle furiously furious"
254,999,602,F,221018.87,1993-09-05,5-LOW,Clerk#000000464,0,pitaphs sleep. regular accounts use. f
255,1024,35,O,248306.79,1997-12-23,5-LOW,Clerk#000000903,0," blithely. even, express theodolites cajole slyly across"
256,1025,1027,F,112960.5,1995-05-05,2-HIGH,Clerk#000000376,0,ross the slyly final pa
257,1026,712,O,49485.22,1997-06-04,5-LOW,Clerk#000000223,0,s wake blithely. special acco
258,1027,1280,F,145806.89,1992-06-03,3-MEDIUM,Clerk#000000241,0,equests cajole. slyly final pinto bean
259,1028,685,F,190755.43,1994-01-01,2-HIGH,Clerk#000000131,0,"ts are. final, silent deposits are among the fl"
260,1029,1288,F,57789.24,1994-06-21,2-HIGH,Clerk#000000700,0,quests sleep. slyly even foxes wake quickly final theodolites. clo
261,1030,1340,F,26164.34,1994-06-15,5-LOW,Clerk#000000422,0,ully ironic accounts sleep carefully. requests are carefully alongside of the 
262,1031,37,F,203268.37,1994-09-01,3-MEDIUM,Clerk#000000448,0,s; ironic theodolites along the carefully ex
263,1056,275,F,41838.38,1995-02-11,1-URGENT,Clerk#000000125,0,"t, even deposits hang about the slyly special i"
264,1057,760,F,176625.96,1992-02-20,1-URGENT,Clerk#000000124,0,"cuses dazzle carefully careful, ironic pinto beans. carefully even theod"
265,1058,530,F,132338.09,1993-04-26,3-MEDIUM,Clerk#000000373,0,kly pending courts haggle. blithely regular sheaves integrate carefully fi
266,1059,1268,F,291519.65,1994-02-27,1-URGENT,Clerk#000000104,0,en accounts. carefully bold packages cajole daringly special depende
267,1060,1397,F,155247.64,1993-02-21,3-MEDIUM,Clerk#000000989,0,l platelets sleep quickly slyly special requests. furiously 
268,1061,1027,O,197424.17,1998-05-15,5-LOW,Clerk#000000576,0,uests sleep at the packages. fur
269,1062,1051,O,48449.37,1997-01-15,1-URGENT,Clerk#000000152,0,eposits use blithely 
270,1063,370,F,76957.4,1994-04-02,2-HIGH,Clerk#000000024,0,deposits nag quickly regular deposits. quickl
271,1088,1469,F,53063.07,1992-05-21,5-LOW,Clerk#000000347,0,counts are blithely. platelets print. carefully 
272,1089,481,O,140302.14,1996-05-04,4-NOT SPECIFIED,Clerk#000000226,0,ns haggle ruthlessly. even requests are quickly abov
273,1090,172,O,34290.36,1997-11-15,2-HIGH,Clerk#000000300,0, furiously regular platelets haggle along the slyly unusual foxes! 
274,1091,829,O,48591.79,1996-08-27,1-URGENT,Clerk#000000549,0, even pinto beans haggle quickly alongside of the eve
275,1092,1232,P,131664.83,1995-03-04,3-MEDIUM,Clerk#000000006,0,re quickly along the blithe
276,1093,1007,O,124792.59,1997-07-31,4-NOT SPECIFIED,Clerk#000000159,0, after the carefully ironic requests. carefully ironic packages wake fluffil
277,1094,1438,O,9281.56,1997-12-24,3-MEDIUM,Clerk#000000570,0,"beans affix furiously about the pending, even deposits. finally pendi"
278,1095,1433,O,225466.98,1995-08-22,3-MEDIUM,Clerk#000000709,0,sly bold requests cajole carefully according to
279,1120,1391,O,152580.64,1997-11-07,3-MEDIUM,Clerk#000000319,0,lly special requests. slyly pending platelets are quickly pending requ
280,1121,281,O,368220.47,1997-01-13,3-MEDIUM,Clerk#000000541,0,r escapades. deposits above the fluffily bold requests hag
281,1122,1196,O,225660.19,1997-01-10,1-URGENT,Clerk#000000083,0,uffily carefully final theodolites. furiously express packages affix
282,1123,715,O,115157.87,1996-08-03,3-MEDIUM,Clerk#000000929,0,uriously pending requests. slyly regular instruction
283,1124,796,O,214762.97,1998-07-30,5-LOW,Clerk#000000326,0,regular pinto beans along the fluffily silent packages
284,1125,242,F,112869.93,1994-10-27,2-HIGH,Clerk#000000510,0,ithely final requests. i
285,1126,1433,O,81025.22,1998-01-28,4-NOT SPECIFIED,Clerk#000000928,0,d slyly regular ideas: special ideas believe slyly. slyly ironic sheaves w
286,1127,575,O,125368.14,1995-09-19,4-NOT SPECIFIED,Clerk#000000397,0,"usly silent, regular pinto beans. blithely express requests boos"
287,1152,490,F,78973.34,1994-08-14,4-NOT SPECIFIED,Clerk#000000496,0,equests. deposits ab
288,1153,1196,O,328207.15,1996-04-18,5-LOW,Clerk#000000059,0, across the pending deposi
289,1154,352,F,264213.46,1992-02-15,1-URGENT,Clerk#000000268,0,old asymptotes are special requests. blithely even deposits sleep furiously
290,1155,1498,O,170273.99,1997-10-06,2-HIGH,Clerk#000000164,0,"c deposits haggle among the ironic, even requests. carefully ironic sheaves n"
291,1156,1318,O,333319.23,1996-10-19,1-URGENT,Clerk#000000200,0, blithely ironic dolphins. furiously pendi
292,1157,968,O,136306.85,1998-01-14,4-NOT SPECIFIED,Clerk#000000207,0,out the regular excuses boost carefully against the furio
293,1158,1414,O,43176.15,1996-06-30,2-HIGH,Clerk#000000549,0,integrate slyly furiously ironic deposit
294,1159,685,F,68999.67,1992-09-18,3-MEDIUM,Clerk#000000992,0,ts may sleep. requests according to the
295,1184,886,O,55815.77,1997-10-26,5-LOW,Clerk#000000777,0,iously even packages haggle fluffily care
296,1185,736,F,68659.75,1992-08-24,5-LOW,Clerk#000000344,0, even escapades are. package
297,1186,589,O,88428.13,1996-08-15,4-NOT SPECIFIED,Clerk#000000798,0,ingly regular pinto beans: instructi
298,1187,1337,F,133699.36,1992-11-20,3-MEDIUM,Clerk#000000047,0,s after the furiously final deposits boost slyly under the
299,1188,199,O,79030.59,1996-04-11,2-HIGH,Clerk#000000256,0,ully ironic deposits. slyl
300,1189,445,F,90219.24,1994-04-09,1-URGENT,Clerk#000000243,0,f the even accounts. courts print blithely ironic accounts. sile
301,1190,121,O,54852.43,1997-03-16,5-LOW,Clerk#000000575,0,ccounts above the foxes integrate carefully after the 
302,1191,1103,O,41725.75,1995-11-07,3-MEDIUM,Clerk#000000011,0,uests nag furiously. carefully even requests
303,1216,1220,F,111175.17,1992-12-07,5-LOW,Clerk#000000918,0,nal foxes around the e
304,1217,64,F,63714.18,1992-04-26,4-NOT SPECIFIED,Clerk#000000538,0, foxes nag quickly. ironic excuses nod. blithely pending
305,1218,83,F,157442.11,1994-06-20,4-NOT SPECIFIED,Clerk#000000994,0,"s cajole. special, silent deposits about the theo"
306,1219,271,O,11895.23,1995-10-05,3-MEDIUM,Clerk#000000800,0,od carefully. slyly final dependencies across the even fray
307,1220,485,O,164363.11,1996-08-29,1-URGENT,Clerk#000000712,0,inal theodolites wake. fluffily ironic asymptotes cajol
308,1221,134,F,164863.12,1992-04-19,4-NOT SPECIFIED,Clerk#000000852,0," detect against the silent, even deposits. carefully ironic"
309,1222,98,F,61432.27,1993-02-05,3-MEDIUM,Clerk#000000811,0,theodolites use quickly even accounts. carefully final asympto
310,1223,91,O,50645.67,1996-05-25,4-NOT SPECIFIED,Clerk#000000238,0,posits was blithely fr
311,1248,472,F,295111.15,1992-01-02,1-URGENT,Clerk#000000890,0,t the carefully regular dugouts. s
312,1249,1498,F,70939.22,1994-01-05,1-URGENT,Clerk#000000095,0,al ideas sleep above the pending pin
313,1250,359,F,13036.54,1992-09-29,4-NOT SPECIFIED,Clerk#000000652,0,ts after the fluffily pending instructions use slyly about the s
314,1251,379,O,168646.06,1997-10-30,1-URGENT,Clerk#000000276,0,", brave sauternes. deposits boost fluffily."
315,1252,1499,O,135540.7,1997-08-04,5-LOW,Clerk#000000348,0,ng the slyly regular excuses. special courts nag furiously blithely e
316,1253,1145,F,135358.41,1993-01-26,1-URGENT,Clerk#000000775,0, requests sleep furiously even foxes. ruthless packag
317,1254,698,O,143889.73,1995-12-22,1-URGENT,Clerk#000000607,0, pinto beans. carefully regular request
318,1255,1217,F,104935.74,1994-05-30,4-NOT SPECIFIED,Clerk#000000798,0,ct slyly regular accounts. quick
319,1280,956,F,137579.92,1993-01-11,5-LOW,Clerk#000000160,0,posits thrash quickly after the theodolites. furiously iro
320,1281,611,F,226132.4,1994-12-11,1-URGENT,Clerk#000000430,0,counts. carefully pending accounts eat 
321,1282,1160,F,85558.32,1992-02-29,4-NOT SPECIFIED,Clerk#000000168,0,he quickly special packages. furiously final re
322,1283,1165,O,296055.8,1996-08-30,4-NOT SPECIFIED,Clerk#000000260,0, pinto beans boost slyly ac
323,1284,1340,O,147647.95,1996-01-07,2-HIGH,Clerk#000000492,0,s. blithely silent deposits s
324,1285,104,F,209656.04,1992-06-01,1-URGENT,Clerk#000000423,0,cial deposits cajole after the ironic requests. p
325,1286,1087,F,308115.46,1993-05-14,4-NOT SPECIFIED,Clerk#000000939,0, deposits use carefully from the excuses. slyly bold p
326,1287,173,F,181586.61,1994-07-05,2-HIGH,Clerk#000000288,0,ly ironic dolphins integrate furiously among the final packages. st
327,1312,1111,F,81611.04,1994-05-19,3-MEDIUM,Clerk#000000538,0,"n, express accounts across the ironic"
328,1313,1477,F,69234.03,1994-09-13,1-URGENT,Clerk#000000774,0,ld accounts. regular deposits cajole. ironically pending theodolites use car
329,1314,1424,F,63623.22,1994-05-13,3-MEDIUM,Clerk#000000485,0,ickly blithe packages nod ideas. furiously bold braids boost around the car
330,1315,215,O,182956.83,1998-03-22,5-LOW,Clerk#000000840,0,final theodolites alongside of the carefu
331,1316,160,F,232915.54,1993-12-03,1-URGENT,Clerk#000000857,0,"ully bold theodolites? pending, bold pin"
332,1317,991,P,170654.55,1995-05-19,2-HIGH,Clerk#000000373,0,sts. furiously special deposits lose fur
333,1318,1279,O,98170.5,1998-06-27,3-MEDIUM,Clerk#000000581,0,"s hang bold requests. pending, re"
334,1319,313,O,46533.5,1996-09-27,2-HIGH,Clerk#000000257,0,y across the ruthlessly ironic accounts. unusu
335,1344,170,F,66338.64,1992-04-16,5-LOW,Clerk#000000178,0,"omise close, silent requests. pending theodolites boost pending "
336,1345,943,F,165361.31,1992-10-28,5-LOW,Clerk#000000447,0, regular tithes. quickly fluffy de
337,1346,748,F,224106.48,1992-06-18,2-HIGH,Clerk#000000374,0,ges sleep quickly-- even pint
338,1347,403,O,249530.87,1997-06-20,5-LOW,Clerk#000000977,0,he furiously even foxes use carefully express req
339,1348,175,O,145456.56,1998-04-18,5-LOW,Clerk#000000206,0,tly. quickly even deposi
340,1349,637,O,49656.84,1997-10-26,1-URGENT,Clerk#000000543,0,"yly! blithely special theodolites cajole. unusual, reg"
341,1350,508,F,71653.64,1993-08-24,1-URGENT,Clerk#000000635,0,iously about the blithely special a
342,1351,1060,O,23806.26,1998-04-20,1-URGENT,Clerk#000000012,0," cajole. regular, special re"
343,1376,461,O,35617.06,1997-05-04,4-NOT SPECIFIED,Clerk#000000730,0,"der furiously final, final frets. carefull"
344,1377,199,O,145303.74,1998-04-24,4-NOT SPECIFIED,Clerk#000000625,0,lly across the blithely express accounts. ironic excuses promise carefully de
345,1378,196,O,184205.63,1996-03-09,4-NOT SPECIFIED,Clerk#000000705,0, furiously even tithes cajole slyly among the quick
346,1379,643,O,98253.79,1998-05-25,5-LOW,Clerk#000000861,0,y deposits are caref
347,1380,1363,O,136526.77,1996-07-07,3-MEDIUM,Clerk#000000969,0,"inal deposits wake slyly daringly even requests. bold, even foxe"
348,1381,1264,O,74771.86,1998-05-25,3-MEDIUM,Clerk#000000107,0,"even requests breach after the bold, ironic instructions. slyly even"
349,1382,1324,F,246263.02,1993-08-17,5-LOW,Clerk#000000241,0,fully final packages sl
350,1383,1196,F,53197.34,1993-04-27,2-HIGH,Clerk#000000785,0,ts. express requests sleep blithel
351,1408,539,O,255424.0,1997-12-26,4-NOT SPECIFIED,Clerk#000000942,0,t the quickly final asymptotes. unusual
352,1409,1429,F,119571.58,1992-12-31,4-NOT SPECIFIED,Clerk#000000065,0,"ructions. furiously unusual excuses are regular, unusual theodolites. fin"
353,1410,1123,O,153160.36,1997-04-12,5-LOW,Clerk#000000123,0,iously along the bravely regular dolphins. pinto beans cajole furiously sp
354,1411,946,F,222485.73,1994-12-21,2-HIGH,Clerk#000000566,0,s. furiously special excuses across the pending pinto beans haggle sp
355,1412,529,F,114697.28,1993-03-13,4-NOT SPECIFIED,Clerk#000000083,0,uffily daring theodolit
356,1413,907,O,111589.54,1997-06-14,3-MEDIUM,Clerk#000000342,0,", ironic instructions. carefully even packages dazzle"
357,1414,763,O,50012.42,1995-08-16,1-URGENT,Clerk#000000883,0,ccounts. ironic foxes haggle car
358,1415,787,F,32535.28,1994-05-29,4-NOT SPECIFIED,Clerk#000000601,0,rays. blithely final ideas affix quickl
359,1440,979,O,53447.02,1995-08-10,5-LOW,Clerk#000000956,0, pending requests. closely s
360,1441,1219,O,243310.98,1997-03-06,4-NOT SPECIFIED,Clerk#000000156,0,ter the excuses. ironic dependencies m
361,1442,1106,F,8836.99,1994-07-05,4-NOT SPECIFIED,Clerk#000000935,0,nal pinto beans. slyly ironic ideas cajol
362,1443,439,O,59178.01,1996-12-16,5-LOW,Clerk#000000185,0,x blithely against the carefully final somas. even asymptotes are. quickly spe
363,1444,1333,F,290512.2,1994-12-06,3-MEDIUM,Clerk#000000783,0,ove the bold accounts cajole fluffily about
364,1445,1136,F,235888.22,1995-01-10,3-MEDIUM,Clerk#000000211,0,even packages wake fluffily 
365,1446,401,O,46093.69,1998-02-16,5-LOW,Clerk#000000274,0,lly regular notornis above the requests sleep final accounts! 
366,1447,901,F,158371.04,1992-10-15,2-HIGH,Clerk#000000880,0,"inly against the blithely pending excuses. regular, pe"
367,1472,1499,O,72730.13,1996-10-06,5-LOW,Clerk#000000303,0,y special dolphins around the final dependencies wake quick
368,1473,923,O,125427.75,1997-03-17,3-MEDIUM,Clerk#000000960,0,furiously close accoun
369,1474,691,F,69600.97,1995-01-09,1-URGENT,Clerk#000000438,0,detect quickly above the carefully even 
370,1475,49,O,252931.74,1997-11-12,2-HIGH,Clerk#000000972,0,cally final packages boost. blithely ironic packa
371,1476,1447,O,24352.78,1996-06-27,2-HIGH,Clerk#000000673,0,ding accounts hinder alongside of the quickly pending requests. fluf
372,1477,755,O,288752.23,1997-08-24,5-LOW,Clerk#000000612,0,ly bold foxes. final ideas would cajo
373,1478,499,O,27542.96,1997-08-03,2-HIGH,Clerk#000000827,0,lessly. carefully express
374,1479,146,O,41710.22,1995-12-16,4-NOT SPECIFIED,Clerk#000000697,0,he furiously even foxes. thinly bold deposits
375,1504,19,F,125349.58,1992-08-28,3-MEDIUM,Clerk#000000381,0,", brave deposits. bold de"
376,1505,352,F,61594.91,1992-08-21,2-HIGH,Clerk#000000544,0,s. slyly ironic packages cajole. carefully regular packages haggle 
377,1506,1462,F,263170.47,1992-09-21,3-MEDIUM,Clerk#000000620,0, dependencies. accounts affix blithely slowly unusual deposits. slyly regular 
378,1507,1205,F,155226.23,1993-10-14,3-MEDIUM,Clerk#000000305,0,"stealthy, ironic de"
379,1508,1013,O,207727.99,1998-04-10,5-LOW,Clerk#000000117,0, after the furiously regular pinto beans hang slyly quickly ironi
380,1509,625,F,252994.9,1993-07-08,5-LOW,Clerk#000000770,0,the regular ideas. regul
381,1510,523,O,235151.19,1996-09-17,5-LOW,Clerk#000000128,0,ld carefully. furiously final asymptotes haggle furiously
382,1511,785,O,103042.07,1996-12-22,4-NOT SPECIFIED,Clerk#000000386,0,ts above the depend
383,1536,932,O,8717.58,1997-01-26,3-MEDIUM,Clerk#000000117,0,ges are! furiously final deposits cajole iron
384,1537,1076,F,144582.24,1992-02-15,4-NOT SPECIFIED,Clerk#000000862,0,"g to the even deposits. ironic, final packages "
385,1538,290,O,214050.85,1995-06-18,4-NOT SPECIFIED,Clerk#000000258,0, instructions. regular theod
386,1539,1118,F,67801.22,1995-03-10,5-LOW,Clerk#000000840,0,nstructions boost pa
387,1540,142,F,191775.25,1992-08-05,2-HIGH,Clerk#000000927,0,r ideas hinder blithe
388,1541,940,P,72808.67,1995-05-18,1-URGENT,Clerk#000000906,0,y. slyly ironic warhorses around the furiously regul
389,1542,1427,F,177573.43,1993-09-15,3-MEDIUM,Clerk#000000435,0,t the furiously close deposits do was f
390,1543,503,O,221716.54,1997-02-20,1-URGENT,Clerk#000000398,0,unts. furiously pend
391,1568,167,O,108945.79,1997-01-30,4-NOT SPECIFIED,Clerk#000000554,0,d notornis. carefully 
392,1569,1036,O,133309.13,1998-04-02,5-LOW,Clerk#000000786,0,orbits. fluffily even decoys serve blithely. furiously furious realms nag acro
393,1570,1223,O,58046.02,1998-03-16,1-URGENT,Clerk#000000745,0,pinto beans haggle furiousl
394,1571,1027,F,194190.45,1992-12-05,2-HIGH,Clerk#000000565,0,ously furiously bold warthogs. slyly ironic instructions are quickly a
395,1572,104,O,64264.28,1996-02-24,2-HIGH,Clerk#000000994,0,fluffily ironic accounts haggle blithely final platelets! slyly regular foxes
396,1573,1480,F,127138.2,1992-12-28,2-HIGH,Clerk#000000940,0,"ess, ironic deposits use along the carefu"
397,1574,1334,O,255009.95,1996-12-12,3-MEDIUM,Clerk#000000809,0, ideas hinder after the carefully unusual 
398,1575,1447,O,238537.34,1995-09-13,3-MEDIUM,Clerk#000000497,0,. furiously regular dep
399,1600,926,F,188076.26,1993-03-03,3-MEDIUM,Clerk#000000627,0,"tions cajole quietly above the regular, silent requests. slyly fin"
400,1601,524,F,116922.47,1994-08-27,5-LOW,Clerk#000000469,0,ent deposits are ca
401,1602,10,F,6751.57,1993-08-05,5-LOW,Clerk#000000660,0,deposits. busily silent instructions haggle furiously. fin
402,1603,13,F,46920.46,1993-07-31,4-NOT SPECIFIED,Clerk#000000869,0,s. slyly silent deposits boo
403,1604,1123,F,135098.39,1993-07-17,5-LOW,Clerk#000000512,0,lithely silent waters. blithely unusual packages alongside 
404,1605,577,O,190137.68,1998-04-24,4-NOT SPECIFIED,Clerk#000000616,0,"sleep furiously? ruthless, even pinto beans "
405,1606,530,O,184091.64,1997-04-17,4-NOT SPECIFIED,Clerk#000000550,0,r requests. quickly even platelets breach before the ironically
406,1607,1493,O,228124.53,1995-12-16,2-HIGH,Clerk#000000498,0," bold, pending foxes haggle. slyly silent "
407,1632,659,O,272854.6,1997-01-08,3-MEDIUM,Clerk#000000351,0,onic requests are accounts. bold a
408,1633,143,O,74276.27,1995-10-14,2-HIGH,Clerk#000000666,0,y silent accounts sl
409,1634,689,O,202866.17,1996-09-10,1-URGENT,Clerk#000000360,0,arefully blithely ironic requests. slyly unusual instructions alongside
410,1635,38,O,107289.95,1997-02-13,3-MEDIUM,Clerk#000000958,0,s. slyly ironic requests affix slyly 
411,1636,787,O,232036.04,1997-06-17,3-MEDIUM,Clerk#000000457,0,ding requests. slyly ironic courts wake quickl
412,1637,728,F,264917.81,1995-02-08,4-NOT SPECIFIED,Clerk#000000189,0, final accounts. blithely silent ideas cajole bravely. carefully express 
413,1638,1390,O,222330.55,1997-08-13,2-HIGH,Clerk#000000643,0,he fluffily regular asymp
414,1639,44,O,155953.46,1995-08-20,4-NOT SPECIFIED,Clerk#000000939,0,haggle furiously. final requests detect furious
415,1664,640,O,229693.92,1996-03-03,1-URGENT,Clerk#000000090,0,y quickly even asymptotes. furiously regular packages haggle quickly fin
416,1665,757,F,7215.86,1994-05-08,2-HIGH,Clerk#000000920,0,ly regular packages are fluffily even ideas. fluffily final
417,1666,941,O,187461.04,1995-10-18,1-URGENT,Clerk#000000849,0,"ffily pending dependencies wake fluffily. pending, final accounts "
418,1667,46,O,193695.84,1997-10-10,2-HIGH,Clerk#000000103,0,e accounts. slyly express accounts must are a
419,1668,1415,O,178694.86,1997-07-12,4-NOT SPECIFIED,Clerk#000000148,0,eodolites. carefully dogged dolphins haggle q
420,1669,19,O,41922.71,1997-06-09,3-MEDIUM,Clerk#000000663,0,er ironic requests detect furiously blithely sp
421,1670,245,O,129082.05,1997-05-24,2-HIGH,Clerk#000000320,0,unusual dependencies. furiously special platelets main
422,1671,343,O,155157.94,1996-07-27,4-NOT SPECIFIED,Clerk#000000275,0,ly. slyly pending requests was above the 
423,1696,35,O,159110.93,1998-01-08,4-NOT SPECIFIED,Clerk#000000041,0,bravely bold accounts above the quickly bold
424,1697,758,O,173054.7,1996-10-07,1-URGENT,Clerk#000000815,0,o x-ray blithely. pl
425,1698,395,O,212919.29,1997-04-23,2-HIGH,Clerk#000000432,0,slyly. carefully express deposit
426,1699,835,F,87704.83,1993-12-30,1-URGENT,Clerk#000000125,0,jole blithely. furiously un
427,1700,649,O,118049.58,1996-06-15,3-MEDIUM,Clerk#000000328,0,ely final dolphins wake sometimes above the quietly regular deposits. fur
428,1701,1285,F,97290.23,1992-05-19,2-HIGH,Clerk#000000395,0,"furiously. regular, close theodoli"
429,1702,655,P,313394.52,1995-05-07,2-HIGH,Clerk#000000300,0,around the carefully final deposits cajole carefully according to the b
430,1703,1334,F,151075.27,1993-01-28,3-MEDIUM,Clerk#000000463,0," pinto beans poach. bold courts boost. regular, express deposits at"
431,1728,631,O,181415.94,1996-05-22,2-HIGH,Clerk#000000711,0,beans. slyly regular instructions sleep! slyly final packages
432,1729,1312,F,16895.97,1992-05-19,2-HIGH,Clerk#000000158,0,pending foxes wake. accounts
433,1730,1234,O,196574.65,1998-07-24,5-LOW,Clerk#000000794,0, fluffily pending deposits serve. furiously even requests wake furiou
434,1731,1279,O,274023.72,1996-01-06,1-URGENT,Clerk#000000268,0,"lithely regular, final instructions. ironic, express packages are above"
435,1732,1459,F,261007.93,1993-11-29,5-LOW,Clerk#000000903,0,inal requests integrate dolph
436,1733,1475,O,195828.98,1996-05-12,2-HIGH,Clerk#000000789,0,e carefully according to the accounts. furiously pending instructions sleep
437,1734,64,F,59250.3,1994-06-11,2-HIGH,Clerk#000000722,0, final ideas haggle. blithely quick foxes sleep busily bold ideas. i
438,1735,206,F,128698.48,1992-12-27,1-URGENT,Clerk#000000458,0,ully idle requests wake qu
439,1760,1142,O,122830.52,1996-05-17,5-LOW,Clerk#000000917,0, deposits. busily regular deposits wake blithely along the furiously even re
440,1761,1049,F,310359.22,1993-12-24,2-HIGH,Clerk#000000817,0,efully slyly bold frets. packages boost b
441,1762,767,F,293674.75,1994-08-20,4-NOT SPECIFIED,Clerk#000000653,0,ly ironic packages. furi
442,1763,1205,O,194261.8,1996-10-29,2-HIGH,Clerk#000000321,0,es. bold dependencies haggle furiously along 
443,1764,283,F,68855.7,1992-03-25,1-URGENT,Clerk#000000182,0,. slyly final packages integrate carefully acro
444,1765,727,O,51928.97,1995-12-03,4-NOT SPECIFIED,Clerk#000000490,0, regular excuses wake slyly
445,1766,1385,O,67803.59,1996-10-12,2-HIGH,Clerk#000000983,0,unusual deposits affix quickly beyond the carefully s
446,1767,247,P,184646.16,1995-03-14,2-HIGH,Clerk#000000327,0,eposits use carefully carefully regular platelets. quickly regular packages al
447,1792,472,F,175299.11,1993-11-09,5-LOW,Clerk#000000102,0,ructions haggle along the pending packages. carefully speci
448,1793,178,F,106527.58,1992-07-12,4-NOT SPECIFIED,Clerk#000000291,0,regular packages cajole. blithely special packages according to the final d
449,1794,1396,O,259572.58,1997-09-28,1-URGENT,Clerk#000000686,0,ally silent pinto beans. regular package
450,1795,928,F,178189.68,1994-03-19,2-HIGH,Clerk#000000815,0, quickly final packages! blithely dogged accounts c
451,1796,463,F,41893.26,1992-11-21,2-HIGH,Clerk#000000245,0,eans use furiously around th
452,1797,1243,O,63183.36,1996-05-07,3-MEDIUM,Clerk#000000508,0,quiet platelets haggle since the quickly ironic instructi
453,1798,517,O,45519.51,1997-07-28,1-URGENT,Clerk#000000741,0,al foxes are blithe
454,1799,601,F,60595.26,1994-03-07,4-NOT SPECIFIED,Clerk#000000339,0,ns sleep furiously final waters. blithely regular instructions h
455,1824,482,F,107580.47,1994-05-05,1-URGENT,Clerk#000000972,0,e blithely fluffily
456,1825,1465,F,203057.19,1993-12-05,3-MEDIUM,Clerk#000000345,0,"ironic, final accou"
457,1826,814,F,150931.79,1992-04-16,4-NOT SPECIFIED,Clerk#000000718,0,"the even asymptotes dazzle fluffily slyly regular asymptotes. final, unu"
458,1827,1051,O,320537.08,1996-06-22,4-NOT SPECIFIED,Clerk#000000369,0,luffily even requests haggle sly
459,1828,314,F,193253.78,1994-04-18,3-MEDIUM,Clerk#000000840,0,y quickly bold packag
460,1829,1114,F,138691.03,1994-05-08,2-HIGH,Clerk#000000537,0, accounts wake above the furiously unusual requests. pending package
461,1830,1315,F,116412.14,1995-02-23,1-URGENT,Clerk#000000045,0,"according to the even,"
462,1831,706,F,83108.48,1993-12-02,1-URGENT,Clerk#000000854,0, accounts. carefully even accounts boost furiously. regular ideas engage. 
463,1856,1045,F,267665.56,1992-03-20,4-NOT SPECIFIED,Clerk#000000952,0,. special pinto beans run acr
464,1857,1321,F,165861.54,1993-01-13,2-HIGH,Clerk#000000083,0,hely final ideas slee
465,1858,1423,O,34660.99,1997-12-13,1-URGENT,Clerk#000000389,0,thely. slyly final deposits sleep
466,1859,598,O,162087.77,1997-04-11,4-NOT SPECIFIED,Clerk#000000949,0, the foxes. bravely special excuses nag carefully special r
467,1860,97,O,9265.31,1996-04-04,3-MEDIUM,Clerk#000000556,0,osits. quickly bold deposits according to 
468,1861,685,F,113123.65,1994-01-03,3-MEDIUM,Clerk#000000847,0,r the fluffily close sauternes. furio
469,1862,325,O,123620.54,1998-02-24,5-LOW,Clerk#000000348,0,ts snooze ironically abou
470,1863,731,F,142539.37,1993-09-23,4-NOT SPECIFIED,Clerk#000000658,0,"old sentiments. careful, "
471,1888,1192,F,360144.81,1993-10-31,4-NOT SPECIFIED,Clerk#000000659,0,olites. pinto beans cajole. regular deposits affix. slyly regular
472,1889,244,O,128067.39,1997-03-16,1-URGENT,Clerk#000000854,0,p around the regular notornis. unusual deposits
473,1890,95,O,297716.58,1996-12-18,4-NOT SPECIFIED,Clerk#000000627,0,"romise final, regular deposits. regular fox"
474,1891,610,F,128912.17,1994-12-15,5-LOW,Clerk#000000495,0,unusual foxes sleep regular deposits. requests wake special pac
