,l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
528,518,1332,9,3,12,14799.96,0.01,0.06,N,O,1998-03-08,1998-03-31,1998-04-06,NONE,AIR, packages thrash slyly
529,518,1220,21,4,46,51576.12,0.07,0.02,N,O,1998-04-07,1998-04-17,1998-04-29,NONE,MAIL,. blithely even ideas cajole furiously. b
530,518,701,2,5,16,25627.2,0.01,0.01,N,O,1998-03-15,1998-03-24,1998-04-08,NONE,MAIL,use quickly expre
531,518,1964,53,6,39,72772.44,0.09,0.08,N,O,1998-02-26,1998-03-17,1998-03-21,DELIVER IN PERSON,FOB," the bold, special deposits are carefully "
532,518,1860,4,7,48,84569.28,0.03,0.07,N,O,1998-03-06,1998-04-22,1998-03-14,NONE,FOB, slyly final platelets; quickly even deposi
533,519,1590,71,1,1,1491.59,0.07,0.07,N,O,1997-12-01,1998-01-26,1997-12-23,COLLECT COD,REG AIR,bold requests believe furiou
534,519,30,31,2,38,35341.14,0.05,0.08,N,O,1998-02-19,1997-12-15,1998-03-19,DELIVER IN PERSON,FOB,gular excuses detect quickly furiously 
535,519,1059,30,3,19,18240.95,0.0,0.02,N,O,1998-01-09,1998-01-03,1998-02-06,COLLECT COD,AIR,asymptotes. p
536,519,463,51,4,27,36813.42,0.08,0.06,N,O,1997-11-20,1997-12-06,1997-12-16,DELIVER IN PERSON,REG AIR,"le. even, final dependencies"
537,519,91,42,5,13,12884.17,0.06,0.08,N,O,1998-02-06,1997-12-02,1998-03-03,TAKE BACK RETURN,TRUCK,c accounts wake along the ironic so
538,519,1510,91,6,3,4234.53,0.04,0.0,N,O,1998-02-01,1998-01-25,1998-02-27,TAKE BACK RETURN,FOB,erve blithely blithely ironic asymp
539,544,1385,86,1,47,60459.86,0.08,0.06,R,F,1993-03-14,1993-03-27,1993-03-27,COLLECT COD,SHIP,ecial pains. deposits grow foxes. 
540,545,1696,97,1,4,6390.76,0.02,0.0,N,O,1996-02-23,1995-12-16,1996-03-21,DELIVER IN PERSON,FOB,", ironic grouches cajole over"
541,545,1702,87,2,18,28866.6,0.0,0.0,N,O,1996-02-21,1996-01-17,1996-02-26,NONE,RAIL,"al, final packages affix. even a"
542,546,846,46,1,16,27949.44,0.08,0.02,N,O,1997-02-04,1996-12-30,1997-02-25,DELIVER IN PERSON,TRUCK,de of the orbits. sometimes regula
543,547,708,73,1,44,70782.8,0.08,0.08,N,O,1996-10-18,1996-08-17,1996-10-27,TAKE BACK RETURN,FOB,thely express dependencies. qu
544,547,1364,41,2,48,60737.28,0.01,0.04,N,O,1996-10-21,1996-08-04,1996-11-20,COLLECT COD,SHIP,thely specia
545,547,1814,1,3,3,5147.43,0.05,0.02,N,O,1996-09-04,1996-08-01,1996-09-21,COLLECT COD,SHIP,pinto beans. ironi
546,548,1966,67,1,2,3735.92,0.06,0.05,A,F,1994-11-26,1994-11-06,1994-12-06,COLLECT COD,MAIL,ests haggle quickly eve
547,548,47,48,2,6,5682.24,0.0,0.08,A,F,1995-01-18,1994-12-08,1995-02-10,NONE,TRUCK,sits wake furiously regular
548,548,2,78,3,21,18942.0,0.03,0.08,A,F,1995-01-13,1994-12-18,1995-01-25,NONE,AIR,ideas. special accounts above the furiou
549,548,568,59,4,21,30839.76,0.08,0.03,A,F,1994-10-27,1994-12-04,1994-11-21,DELIVER IN PERSON,AIR, engage quickly. regular theo
550,548,930,33,5,19,34787.67,0.0,0.02,A,F,1994-09-24,1994-11-24,1994-10-01,DELIVER IN PERSON,MAIL,courts boost care
551,548,1528,9,6,32,45744.64,0.06,0.04,A,F,1994-12-16,1994-11-20,1994-12-29,NONE,REG AIR,c instruction
552,549,1951,40,1,18,33353.1,0.07,0.04,R,F,1992-10-19,1992-08-12,1992-11-13,COLLECT COD,REG AIR,"furiously according to the ironic, regular "
553,549,1888,89,2,38,68015.44,0.07,0.05,A,F,1992-08-17,1992-08-28,1992-09-05,COLLECT COD,RAIL,"the regular, furious excuses. carefu"
554,549,653,54,3,36,55931.4,0.08,0.04,R,F,1992-09-11,1992-10-11,1992-09-12,DELIVER IN PERSON,AIR,"ts against the ironic, even theodolites eng"
555,549,202,84,4,18,19839.6,0.09,0.01,A,F,1992-07-31,1992-09-11,1992-08-08,NONE,RAIL,ely regular accounts above the 
556,549,235,17,5,38,43138.74,0.06,0.02,R,F,1992-08-23,1992-08-12,1992-08-25,COLLECT COD,REG AIR,eposits. carefully regular depos
557,550,1904,49,1,31,55982.9,0.04,0.02,N,O,1995-10-24,1995-09-27,1995-11-04,COLLECT COD,AIR,thely silent packages. unusual
558,551,238,66,1,8,9105.84,0.08,0.02,N,O,1995-07-29,1995-07-18,1995-08-02,NONE,REG AIR, wake quickly slyly pending platel
559,551,1589,70,2,20,29811.6,0.0,0.07,N,O,1995-09-18,1995-08-25,1995-10-11,COLLECT COD,TRUCK,"r ideas. final, even ideas hinder alongside"
560,551,1611,94,3,16,24201.76,0.07,0.06,N,O,1995-07-29,1995-08-19,1995-08-10,COLLECT COD,MAIL,y along the carefully ex
561,576,865,32,1,2,3531.72,0.07,0.01,N,O,1997-05-15,1997-06-30,1997-05-28,NONE,RAIL,ccounts along the ac
562,576,331,88,2,6,7387.98,0.06,0.05,N,O,1997-05-15,1997-07-26,1997-06-03,DELIVER IN PERSON,TRUCK,al deposits. slyly even sauternes a
563,576,366,95,3,6,7598.16,0.08,0.07,N,O,1997-08-28,1997-06-16,1997-09-25,DELIVER IN PERSON,FOB,ts. ironic multipliers 
564,576,1377,54,4,5,6391.85,0.03,0.07,N,O,1997-06-11,1997-06-17,1997-07-05,NONE,REG AIR,l foxes boost slyly. accounts af
565,577,259,14,1,25,28981.25,0.06,0.01,A,F,1995-04-09,1995-02-20,1995-05-09,TAKE BACK RETURN,AIR,ve slyly of the frets. careful
566,577,633,96,2,14,21470.82,0.08,0.03,R,F,1995-03-19,1995-02-25,1995-04-09,DELIVER IN PERSON,RAIL,l accounts wake deposits. ironic packa
567,578,1556,57,1,40,58302.0,0.02,0.08,N,O,1997-02-10,1997-03-18,1997-02-11,NONE,SHIP,usly even platel
568,578,1871,58,2,23,40776.01,0.05,0.08,N,O,1997-03-06,1997-03-03,1997-03-20,TAKE BACK RETURN,FOB,nstructions. ironic deposits
569,579,1507,88,1,9,12676.5,0.0,0.05,N,O,1998-06-20,1998-04-28,1998-07-19,DELIVER IN PERSON,RAIL,"e ironic, express deposits are furiously"
570,579,322,79,2,39,47670.48,0.02,0.01,N,O,1998-06-21,1998-06-03,1998-06-26,COLLECT COD,REG AIR,ncies. furiously final r
571,579,591,52,3,6,8949.54,0.03,0.0,N,O,1998-04-24,1998-05-03,1998-05-08,TAKE BACK RETURN,TRUCK,ickly final requests-- bold accou
572,579,62,88,4,41,39444.46,0.04,0.05,N,O,1998-05-28,1998-05-01,1998-06-04,COLLECT COD,REG AIR,"bold, express requests sublate slyly. blith"
573,579,127,54,5,28,28759.36,0.0,0.03,N,O,1998-07-10,1998-05-24,1998-07-19,NONE,RAIL,ic ideas until th
574,579,1668,10,6,5,7848.3,0.05,0.08,N,O,1998-05-02,1998-04-25,1998-05-05,COLLECT COD,REG AIR,refully silent ideas cajole furious
575,580,850,50,1,33,57778.05,0.03,0.05,N,O,1997-10-11,1997-09-19,1997-10-16,TAKE BACK RETURN,FOB,y express theodolites cajole carefully 
576,580,1734,35,2,31,50707.63,0.04,0.08,N,O,1997-10-04,1997-09-08,1997-10-15,COLLECT COD,FOB,ose alongside of the sl
577,580,1845,89,3,19,33189.96,0.04,0.04,N,O,1997-07-23,1997-09-21,1997-08-15,NONE,FOB,mong the special packag
578,581,634,97,1,41,62919.83,0.09,0.07,N,O,1997-05-26,1997-04-06,1997-06-10,TAKE BACK RETURN,MAIL,nts. quickly
579,581,926,61,2,14,25576.88,0.06,0.08,N,O,1997-05-17,1997-04-14,1997-06-08,NONE,MAIL,. deposits s
580,581,1002,73,3,49,44247.0,0.1,0.02,N,O,1997-02-27,1997-04-24,1997-03-10,TAKE BACK RETURN,MAIL,. slyly regular pinto beans acr
581,581,750,15,4,30,49522.5,0.1,0.08,N,O,1997-06-19,1997-05-21,1997-06-22,TAKE BACK RETURN,TRUCK, regular ideas grow furio
582,582,565,56,1,7,10258.92,0.07,0.0,N,O,1997-11-16,1997-11-29,1997-12-10,TAKE BACK RETURN,FOB,ithely unusual t
583,582,503,4,2,49,68771.5,0.05,0.03,N,O,1997-12-17,1998-01-12,1997-12-31,COLLECT COD,REG AIR,nts according to the furiously regular pin
584,582,1404,83,3,42,54826.8,0.07,0.0,N,O,1997-11-15,1997-12-21,1997-12-03,COLLECT COD,SHIP,iously beside the silent de
585,582,1678,79,4,36,56868.12,0.06,0.01,N,O,1997-12-09,1997-11-27,1997-12-26,TAKE BACK RETURN,SHIP,lar requests. quickly 
586,583,1444,45,1,1,1345.44,0.07,0.07,N,O,1997-06-17,1997-04-29,1997-06-28,NONE,TRUCK," regular, regular ideas. even, bra"
587,583,1197,34,2,47,51614.93,0.1,0.06,N,O,1997-07-14,1997-05-12,1997-08-11,DELIVER IN PERSON,AIR,nts are fluffily. furiously even re
588,583,1295,33,3,34,40673.86,0.01,0.02,N,O,1997-05-11,1997-04-24,1997-06-03,DELIVER IN PERSON,MAIL,express req
589,583,1413,31,4,33,43375.53,0.1,0.01,N,O,1997-05-28,1997-04-25,1997-06-24,NONE,AIR,kages cajole slyly across the
590,583,1886,16,5,13,23242.44,0.04,0.06,N,O,1997-06-23,1997-05-29,1997-07-08,COLLECT COD,TRUCK,y sly theodolites. ironi
591,608,1536,57,1,19,27313.07,0.08,0.06,N,O,1996-04-19,1996-05-02,1996-05-03,DELIVER IN PERSON,RAIL,ideas. the
592,608,1974,63,2,40,75038.8,0.03,0.01,N,O,1996-05-21,1996-04-11,1996-06-02,NONE,AIR, alongside of the regular tithes. sly
593,609,656,88,1,21,32689.65,0.01,0.05,R,F,1994-08-24,1994-08-23,1994-08-27,DELIVER IN PERSON,FOB,de of the special warthogs. excu
594,610,1108,81,1,49,49445.9,0.1,0.07,N,O,1995-08-29,1995-10-26,1995-09-12,TAKE BACK RETURN,SHIP,ular instruc
595,610,679,73,2,11,17376.37,0.07,0.08,N,O,1995-10-31,1995-10-25,1995-11-18,NONE,MAIL,blithely final 
596,610,1177,78,3,26,28032.42,0.09,0.04,N,O,1995-11-22,1995-09-09,1995-12-04,TAKE BACK RETURN,AIR,cross the furiously even theodolites sl
597,610,1853,97,4,17,29832.45,0.03,0.03,N,O,1995-11-01,1995-10-30,1995-11-04,COLLECT COD,FOB,p quickly instead of the slyly pending foxe
598,610,1458,59,5,39,53018.55,0.08,0.05,N,O,1995-10-30,1995-10-21,1995-11-11,TAKE BACK RETURN,REG AIR,counts. ironic warhorses are 
599,610,944,79,6,5,9224.7,0.0,0.07,N,O,1995-08-11,1995-10-22,1995-08-26,TAKE BACK RETURN,FOB,n pinto beans. iro
600,610,1893,80,7,27,48462.03,0.06,0.03,N,O,1995-09-02,1995-09-19,1995-09-15,NONE,REG AIR, ironic pinto beans haggle. blithe
601,611,169,48,1,39,41697.24,0.05,0.06,R,F,1993-05-06,1993-04-09,1993-05-22,TAKE BACK RETURN,SHIP,nto beans 
602,611,807,8,2,1,1707.8,0.08,0.07,R,F,1993-05-17,1993-02-26,1993-06-15,DELIVER IN PERSON,MAIL,ts. pending platelets aff
603,611,1196,33,3,39,42790.41,0.09,0.02,A,F,1993-03-10,1993-03-10,1993-03-17,TAKE BACK RETURN,TRUCK,the evenly bold requests. furious
604,612,1850,37,1,5,8759.25,0.07,0.0,R,F,1992-11-08,1992-11-20,1992-12-03,TAKE BACK RETURN,RAIL,structions. q
605,612,1949,94,2,28,51826.32,0.07,0.06,R,F,1993-01-02,1992-12-11,1993-01-30,DELIVER IN PERSON,TRUCK,regular instructions affix bl
606,612,662,25,3,49,76570.34,0.0,0.08,A,F,1993-01-08,1992-11-25,1993-01-17,TAKE BACK RETURN,REG AIR,theodolite
607,612,390,19,4,28,36130.92,0.05,0.0,A,F,1992-11-12,1992-12-05,1992-12-02,TAKE BACK RETURN,REG AIR,lyly regular asym
608,612,878,12,5,1,1778.87,0.08,0.04,R,F,1992-12-18,1992-12-13,1992-12-20,TAKE BACK RETURN,FOB, requests.
609,612,1883,13,6,33,58901.04,0.1,0.03,R,F,1992-11-30,1992-12-01,1992-12-12,COLLECT COD,MAIL,bove the blithely even ideas. careful
610,613,901,4,1,17,30632.3,0.06,0.06,N,O,1995-09-23,1995-08-04,1995-10-15,NONE,SHIP,ar dependencie
611,613,784,81,2,6,10108.68,0.05,0.05,N,O,1995-08-05,1995-08-09,1995-08-08,TAKE BACK RETURN,MAIL,y ironic deposits eat 
612,613,1851,95,3,3,5258.55,0.03,0.01,N,O,1995-09-27,1995-09-11,1995-10-05,NONE,TRUCK,ccounts cajole. 
613,613,1584,85,4,7,10399.06,0.02,0.04,N,O,1995-09-07,1995-08-02,1995-09-16,DELIVER IN PERSON,MAIL,ously blithely final pinto beans. regula
614,614,1942,31,1,21,38722.74,0.0,0.03,R,F,1993-03-29,1993-01-06,1993-04-16,TAKE BACK RETURN,TRUCK,arefully. slyly express packag
615,614,1869,13,2,48,85001.28,0.07,0.07,A,F,1993-03-09,1993-01-19,1993-03-19,DELIVER IN PERSON,SHIP,riously special excuses haggle along the
616,614,1670,94,3,43,67581.81,0.05,0.0,A,F,1993-03-07,1993-02-22,1993-03-18,DELIVER IN PERSON,SHIP, express accounts wake. slyly ironic ins
617,614,1470,88,4,14,19200.58,0.04,0.06,A,F,1992-12-03,1993-02-14,1992-12-27,DELIVER IN PERSON,SHIP,ular packages haggle about the pack
618,614,1954,99,5,30,55678.5,0.08,0.07,R,F,1993-01-16,1993-02-08,1993-02-12,TAKE BACK RETURN,FOB,tructions are f
619,614,1363,40,6,48,60689.28,0.04,0.08,A,F,1992-12-14,1993-01-22,1993-01-11,NONE,TRUCK, regular platelets cajole quickly eve
620,615,1046,47,1,36,34093.44,0.1,0.01,A,F,1992-06-01,1992-07-14,1992-06-27,NONE,FOB, packages. carefully final pinto bea
621,640,930,33,1,49,89715.57,0.09,0.02,R,F,1993-03-27,1993-04-17,1993-04-15,NONE,RAIL,s haggle slyly
622,640,5,31,2,40,36200.0,0.09,0.05,A,F,1993-05-11,1993-04-11,1993-05-15,COLLECT COD,TRUCK,oach according to the bol
623,640,1795,22,3,22,37329.38,0.05,0.07,A,F,1993-05-07,1993-04-14,1993-05-21,TAKE BACK RETURN,TRUCK,osits across the slyly regular theodo
624,640,315,16,4,45,54688.95,0.07,0.07,R,F,1993-04-15,1993-04-23,1993-04-21,DELIVER IN PERSON,REG AIR,ong the qui
625,641,1252,64,1,18,20758.5,0.01,0.08,R,F,1993-10-17,1993-10-11,1993-10-29,DELIVER IN PERSON,AIR,p blithely bold packages. quick
626,641,995,30,2,1,1895.99,0.09,0.02,R,F,1993-12-03,1993-10-28,1993-12-26,TAKE BACK RETURN,RAIL, nag across the regular foxes.
627,641,944,79,3,40,73797.6,0.05,0.06,R,F,1993-11-22,1993-10-20,1993-12-11,DELIVER IN PERSON,REG AIR,lets. furiously regular requests cajo
628,641,701,66,4,25,40042.5,0.03,0.02,A,F,1993-12-04,1993-11-18,1993-12-18,TAKE BACK RETURN,FOB,"d, regular d"
629,641,38,89,5,41,38459.23,0.07,0.04,R,F,1993-11-29,1993-10-27,1993-12-04,TAKE BACK RETURN,FOB, asymptotes are quickly. bol
630,642,537,38,1,26,37375.78,0.1,0.03,A,F,1994-04-16,1994-02-01,1994-04-27,COLLECT COD,REG AIR,quests according to the unu
631,643,123,2,1,28,28647.36,0.0,0.08,A,F,1995-04-13,1995-05-12,1995-04-14,TAKE BACK RETURN,TRUCK,ly regular requests nag sly
632,643,502,3,2,48,67320.0,0.01,0.02,N,O,1995-07-10,1995-06-07,1995-08-01,NONE,FOB,ly ironic accounts
633,643,1625,67,3,23,35112.26,0.05,0.03,N,O,1995-07-09,1995-05-18,1995-07-31,COLLECT COD,RAIL,sits are carefully according to the e
634,643,448,36,4,39,52589.16,0.08,0.04,A,F,1995-06-08,1995-06-16,1995-06-13,COLLECT COD,RAIL, the pains. carefully s
635,643,1895,82,5,47,84453.83,0.1,0.03,R,F,1995-04-05,1995-06-14,1995-04-26,DELIVER IN PERSON,RAIL,y against 
636,644,1332,71,1,46,56733.18,0.02,0.01,A,F,1992-05-20,1992-06-14,1992-06-14,DELIVER IN PERSON,RAIL, special requests was sometimes expre
637,644,1299,11,2,11,13203.19,0.05,0.02,A,F,1992-08-20,1992-07-21,1992-09-11,TAKE BACK RETURN,TRUCK,ealthy pinto beans use carefu
638,644,1001,72,3,44,39688.0,0.04,0.04,R,F,1992-08-17,1992-07-26,1992-08-20,COLLECT COD,REG AIR,iously ironic pinto beans. bold packa
639,644,798,95,4,7,11891.53,0.01,0.02,A,F,1992-05-18,1992-07-01,1992-06-07,COLLECT COD,RAIL, regular requests are blithely. slyly
640,644,493,94,5,23,32050.27,0.02,0.04,R,F,1992-07-31,1992-07-28,1992-08-13,DELIVER IN PERSON,TRUCK,uctions nag quickly alongside of t
641,644,850,50,6,33,57778.05,0.0,0.07,R,F,1992-08-26,1992-07-27,1992-08-28,NONE,AIR,"ages sleep. bold, bo"
642,644,503,34,7,38,53333.0,0.08,0.06,R,F,1992-05-17,1992-07-10,1992-06-06,TAKE BACK RETURN,MAIL, packages. blithely slow accounts nag quic
643,645,1597,38,1,33,49453.47,0.01,0.02,A,F,1994-12-09,1995-02-21,1995-01-03,NONE,TRUCK,heodolites b
644,645,1695,96,2,47,75044.43,0.07,0.05,R,F,1995-02-16,1995-02-15,1995-02-25,COLLECT COD,TRUCK,hely regular instructions alon
645,645,693,56,3,46,73309.74,0.1,0.01,A,F,1995-01-04,1995-02-21,1995-01-21,COLLECT COD,REG AIR, regular dependencies across the speci
646,645,955,24,4,49,90941.55,0.05,0.03,R,F,1995-01-24,1995-01-06,1995-02-17,NONE,TRUCK,y. slyly iron
647,645,48,74,5,43,40765.72,0.06,0.02,A,F,1995-02-12,1995-02-27,1995-03-06,TAKE BACK RETURN,REG AIR, furiously accounts. slyly
648,645,337,94,6,18,22271.94,0.1,0.08,A,F,1995-03-02,1995-02-08,1995-03-03,COLLECT COD,RAIL,ep. slyly even 
649,645,271,72,7,9,10541.43,0.03,0.03,A,F,1994-12-25,1995-01-04,1995-01-15,COLLECT COD,REG AIR,"special deposits. regular, final th"
650,646,1090,96,1,31,30723.79,0.0,0.05,R,F,1994-12-17,1995-02-16,1995-01-04,COLLECT COD,MAIL,ag furiousl
651,646,1268,69,2,1,1169.26,0.07,0.01,A,F,1994-12-05,1995-01-07,1994-12-31,TAKE BACK RETURN,MAIL,t blithely regular deposits. quic
652,646,298,53,3,24,28758.96,0.06,0.02,A,F,1995-02-20,1994-12-30,1995-03-16,TAKE BACK RETURN,TRUCK,regular accounts haggle dog
653,646,988,57,4,34,64225.32,0.01,0.0,R,F,1994-12-28,1994-12-27,1994-12-31,COLLECT COD,SHIP,slow accounts. fluffily idle instructions
654,646,892,59,5,17,30479.13,0.04,0.01,A,F,1994-12-31,1994-12-26,1995-01-01,DELIVER IN PERSON,REG AIR,inal packages haggle carefully 
655,646,1145,18,6,40,41845.6,0.1,0.01,R,F,1995-01-01,1995-01-13,1995-01-11,COLLECT COD,TRUCK,ronic packages sleep across th
656,647,164,91,1,41,43630.56,0.08,0.08,N,O,1997-11-19,1997-09-24,1997-12-15,COLLECT COD,REG AIR,r instructions. quickly unusu
657,647,1122,95,2,5,5115.6,0.1,0.0,N,O,1997-09-25,1997-09-22,1997-10-25,TAKE BACK RETURN,AIR,ly express packages haggle caref
658,647,1529,10,3,15,21457.8,0.08,0.0,N,O,1997-09-23,1997-10-09,1997-10-21,NONE,MAIL,"ve the even, bold foxes sleep "
659,672,1722,23,1,41,66572.52,0.06,0.06,R,F,1994-06-20,1994-07-03,1994-06-22,COLLECT COD,REG AIR, dependencies in
660,672,1897,98,2,9,16190.01,0.03,0.04,R,F,1994-06-25,1994-06-06,1994-07-19,TAKE BACK RETURN,TRUCK,haggle carefully carefully reg
661,672,1424,42,3,35,46389.7,0.02,0.01,R,F,1994-07-13,1994-06-04,1994-07-14,COLLECT COD,RAIL, dependencies haggle quickly. theo
662,673,705,70,1,22,35325.4,0.03,0.02,R,F,1994-03-15,1994-04-27,1994-03-29,TAKE BACK RETURN,TRUCK," the regular, even requests. carefully fin"
663,674,1014,50,1,23,21045.23,0.06,0.07,A,F,1992-10-25,1992-10-15,1992-11-03,COLLECT COD,SHIP,ve the quickly even deposits. blithe
664,674,583,44,2,4,5934.32,0.02,0.07,R,F,1992-10-05,1992-11-22,1992-10-22,NONE,RAIL,ly express pinto beans sleep car
665,675,1565,86,1,1,1466.56,0.04,0.08,N,O,1997-11-27,1997-09-30,1997-12-12,DELIVER IN PERSON,REG AIR,ide of the slyly regular packages. unus
666,675,1367,82,2,35,44392.6,0.08,0.07,N,O,1997-08-19,1997-10-16,1997-09-17,DELIVER IN PERSON,REG AIR,s. furiously expre
667,675,1759,2,3,34,56465.5,0.1,0.04,N,O,1997-11-17,1997-10-07,1997-11-27,NONE,FOB,y final accounts unwind around the 
668,675,993,96,4,15,28409.85,0.09,0.05,N,O,1997-10-18,1997-09-28,1997-11-13,COLLECT COD,TRUCK,posits after the furio
669,675,47,73,5,46,43563.84,0.09,0.05,N,O,1997-09-18,1997-10-14,1997-10-01,DELIVER IN PERSON,AIR, deposits along the express foxes 
670,676,510,1,1,9,12694.59,0.09,0.02,N,O,1997-04-03,1997-02-02,1997-04-08,COLLECT COD,REG AIR,aintain sl
671,676,777,74,2,20,33555.4,0.07,0.07,N,O,1997-02-02,1997-02-01,1997-02-11,NONE,REG AIR,riously around the blithely 
672,676,1624,25,3,35,53396.7,0.05,0.01,N,O,1996-12-30,1997-01-13,1997-01-19,DELIVER IN PERSON,RAIL,into beans. blithe
673,676,729,26,4,24,39113.28,0.01,0.06,N,O,1997-02-05,1997-01-16,1997-03-07,TAKE BACK RETURN,TRUCK,"ress, regular dep"
674,676,1652,76,5,31,48163.15,0.01,0.06,N,O,1997-02-06,1997-02-28,1997-03-08,COLLECT COD,TRUCK,ial deposits cajo
675,676,760,61,6,33,54805.08,0.09,0.05,N,O,1997-03-02,1997-02-22,1997-03-19,TAKE BACK RETURN,TRUCK,as wake slyly furiously close pinto b
676,676,1422,1,7,11,14557.62,0.07,0.02,N,O,1997-03-09,1997-03-06,1997-03-31,TAKE BACK RETURN,MAIL,he final acco
677,677,590,21,1,32,47698.88,0.04,0.08,R,F,1994-01-06,1994-01-31,1994-02-02,NONE,RAIL,slyly final
678,677,1674,75,2,39,61451.13,0.0,0.07,R,F,1993-12-19,1994-02-11,1994-01-05,TAKE BACK RETURN,SHIP,ges. furiously regular packages use 
679,677,233,34,3,46,52128.58,0.01,0.02,R,F,1993-12-02,1994-02-12,1993-12-06,COLLECT COD,RAIL,ng theodolites. furiously unusual theodo
680,677,1477,95,4,1,1378.47,0.06,0.05,R,F,1993-12-01,1994-01-14,1993-12-26,DELIVER IN PERSON,MAIL,ly. regular 
681,677,1497,15,5,25,34962.25,0.0,0.05,A,F,1994-03-12,1994-02-02,1994-03-28,DELIVER IN PERSON,AIR, packages integrate blithely
682,678,1456,57,1,20,27149.0,0.05,0.08,R,F,1993-06-21,1993-04-07,1993-07-10,TAKE BACK RETURN,MAIL,furiously express excuses. foxes eat fu
683,678,366,51,2,22,27859.92,0.01,0.02,A,F,1993-05-10,1993-04-29,1993-06-08,NONE,REG AIR,de of the carefully even requests. bl
684,678,1425,65,3,16,21222.72,0.06,0.02,R,F,1993-03-20,1993-04-13,1993-04-16,DELIVER IN PERSON,REG AIR,equests cajole around the carefully regular
685,678,1981,82,4,48,90383.04,0.08,0.08,R,F,1993-02-28,1993-04-04,1993-03-24,NONE,REG AIR,ithely. slyly express foxes
686,678,975,76,5,16,30015.52,0.06,0.04,R,F,1993-03-09,1993-04-18,1993-04-07,NONE,AIR, about the 
687,678,429,30,6,11,14623.62,0.09,0.0,R,F,1993-04-28,1993-05-16,1993-05-11,COLLECT COD,TRUCK,ess deposits dazzle f
688,679,1918,19,1,9,16379.19,0.09,0.0,N,O,1995-12-20,1996-01-27,1996-01-07,COLLECT COD,REG AIR,leep slyly. entici
689,704,1900,1,1,40,72076.0,0.05,0.05,N,O,1997-01-30,1997-01-10,1997-02-20,COLLECT COD,AIR,ggle quickly. r
690,704,39,40,2,14,13146.42,0.07,0.08,N,O,1997-02-02,1996-12-26,1997-02-19,DELIVER IN PERSON,REG AIR,ve the quickly final forges. furiously p
691,705,1884,28,1,46,82150.48,0.05,0.06,N,O,1997-04-18,1997-05-06,1997-05-05,DELIVER IN PERSON,SHIP,ss deposits. ironic packa
692,705,1163,72,2,35,37245.6,0.1,0.04,N,O,1997-03-25,1997-03-20,1997-04-23,TAKE BACK RETURN,FOB,carefully ironic accounts
693,706,1967,12,1,23,42986.08,0.05,0.0,N,O,1995-12-06,1995-12-02,1995-12-16,COLLECT COD,SHIP,ckey players. requests above the
694,707,1548,49,1,34,49284.36,0.01,0.02,R,F,1994-12-08,1995-01-15,1995-01-02,NONE,RAIL, dependencies
695,707,427,57,2,22,29203.24,0.0,0.06,A,F,1995-01-12,1994-12-28,1995-01-16,DELIVER IN PERSON,REG AIR, kindle ironically
696,708,1239,51,1,3,3420.69,0.05,0.02,N,O,1998-10-09,1998-09-22,1998-11-07,COLLECT COD,FOB,e slyly pending foxes. 
697,708,1792,93,2,19,32182.01,0.06,0.0,N,O,1998-10-28,1998-09-23,1998-11-25,COLLECT COD,SHIP," requests. even, thin ideas"
698,708,1213,25,3,33,36768.93,0.09,0.06,N,O,1998-09-10,1998-09-20,1998-09-22,COLLECT COD,RAIL,s boost carefully ruthless theodolites. f
699,708,552,53,4,5,7262.75,0.07,0.07,N,O,1998-07-22,1998-08-15,1998-07-28,TAKE BACK RETURN,REG AIR,c pinto beans nag after the account
700,708,1425,43,5,36,47751.12,0.08,0.01,N,O,1998-07-16,1998-09-04,1998-08-11,NONE,SHIP,"ests. even, regular hockey p"
701,708,224,6,6,7,7869.54,0.1,0.03,N,O,1998-08-16,1998-08-15,1998-09-10,COLLECT COD,REG AIR,lly express ac
702,709,863,30,1,7,12347.02,0.0,0.0,N,O,1998-06-14,1998-06-08,1998-06-18,TAKE BACK RETURN,RAIL, special orbits cajole 
703,709,1973,18,2,15,28124.55,0.08,0.0,N,O,1998-07-10,1998-06-26,1998-08-09,NONE,RAIL,ily regular deposits. sauternes was accor
704,709,1685,27,3,10,15866.8,0.01,0.02,N,O,1998-06-04,1998-06-30,1998-06-11,NONE,REG AIR,ts cajole boldly 
705,709,1073,74,4,40,38962.8,0.1,0.08,N,O,1998-08-12,1998-06-20,1998-08-20,DELIVER IN PERSON,RAIL,ggle fluffily carefully ironic
706,710,1622,46,1,47,71610.14,0.06,0.08,A,F,1993-01-18,1993-03-24,1993-01-24,TAKE BACK RETURN,MAIL,usual ideas into th
707,710,1930,31,2,38,69613.34,0.07,0.02,R,F,1993-04-18,1993-03-12,1993-05-15,COLLECT COD,FOB,sts boost fluffily aft
708,710,1390,5,3,7,9039.73,0.04,0.06,R,F,1993-01-20,1993-03-28,1993-02-15,TAKE BACK RETURN,REG AIR,"xpress, special ideas. bl"
709,710,894,95,4,25,44872.25,0.0,0.05,R,F,1993-03-31,1993-02-05,1993-04-22,COLLECT COD,FOB,eas detect do
710,710,1855,42,5,12,21082.2,0.01,0.02,A,F,1993-02-18,1993-02-27,1993-03-07,DELIVER IN PERSON,MAIL,ions. slyly express theodolites al
